0.1,B,0
0.2,B,7
0.3,A,6
0.3,B,2
0.4,C,4
0.6,A,8
0.6,B,3
0.7,A.5
0.8,C,1
0.9,A,2
1,C,0
1,B,8
1.2,A,5
1.3,C,0
1.5,B,3
1.7,C,1
1.7,B,8
1.8,B,2
1.9,B,4
2,A,3
2.2,C,8
2.3,B,2
2.4,B,4
2.5,A,0
2.6,B,2
2.7,C,7
2.8,B,7
2.9,C,1
3,A,3
3,B,5
3.2,C,8
3.3,C,2
3.4,B,4
3.5,A,6
3.5,A,3
3.6,B,7
3.7,B,1
3.7,B,3
3.9,A,8
4,B,6
4.1,A,4
4.2,A,0
4.3,C,6
4.4,B,8
4.5,A,0
4.6,C,2
4.7,B,3
4.9,C,7
5,A,1
5.1,B,5
5.2,B,4
5.2,C,2
5.3,A,6
5.4,C,8
5.5,B,0
5.6,A,8
5.6,C,1
5.7,B,3
5.7,A,4
5.9,C,2
6.1,B,5
6.2,B,8
6.3,A,6
6.4,B,7
6.5,A,2
6.5,B,5
6.6,C,0
6.7,C,1
6.9,A,8
7,B,5
